year,movie,score,gross_revenue
1986,Platoon,8.1,138530565.0
1987,The Last Emperor,7.8,43984230.0
1988,Rain Man,8.0,172825435.0
1989,Driving Miss Daisy,7.4,106593296.0
1990,Dances With Wolves,8.0,184208848.0
1991,The Silence of the Lambs,8.6,130742922.0
1992,Unforgiven,8.2,101157447.0
1993,Schindler's List,8.9,96067179.0
1994,Forrest Gump,8.8,330252182.0
1995,Braveheart,8.4,75600000.0
1996,The English Patient,7.4,78651430.0
1997,Titanic,7.8,658672302.0
1998,Shakespeare in Love,7.2,100317794.0
1999,American Beauty,8.4,130096601.0
2000,Gladiator,8.5,187705427.0
2001,A Beautiful Mind,8.2,170742341.0
2002,Chicago,7.2,170687518.0
2003,The Lord of the Rings: The Return of the King,8.9,377845905.0
2004,Million Dollar Baby,8.1,100492203.0
2005,Crash,7.8,54580300.0
2006,The Departed,8.5,132384315.0
2007,No Country for Old Men,8.1,74283625.0
2008,Slumdog Millionaire,8.0,141319928.0
2009,The Hurt Locker,7.6,17017811.0
2010,The King's Speech,8.0,138797449.0
2011,The Artist,7.9,44671682.0
2012,Argo,7.7,136025503.0
2013,12 Years a Slave,8.1,56671993.0
2014,Birdman or (The Unexpected Virtue of Ignorance),7.8,42340598.0
2015,Spotlight,8.1,45055776.0
2016,Moonlight,7.5,27850912.0
